Название,Категория
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Общий (клинический) анализ мочи,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Общий (клинический) анализ крови развернутый,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследование уровня липопротеинов в крови,Лабораторная диагностика
"Определение антител к поверхностному антигену (anti-HBs) вируса гепатита B (Hepatitis B virus) в крови, количественное исследование",Лабораторная диагностика
Молекулярно-биологическое исследование секрета простаты на микоплазму гениталиум (Mycoplasma genitalium),Лабораторная диагностика
Определение индекса авидности антител класса G (IgG avidity) к цитомегаловирусу (Cytomegalovirus) в крови,Лабораторная диагностика
Определение индекса авидности антител класса G (IgG avidity) к вирусу краснухи (Rubella virus) в крови,Лабораторная диагностика
Молекулярно-биологическое исследование крови на вирус гепатита D (Hepatitis D virus),Лабораторная диагностика
Комплекс исследований для диагностики злокачественных новообразований желудка,Лабораторная диагностика
Определение активности гамма-глютамилтрансферазы в крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Определение антител класса G (IgG) к капсидному антигену (VCA) вируса Эпштейна-Барр (Epstein - Barr virus) в крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Определение индекса пролиферативной активности экспрессии Ki-67 иммуногистохимическим методом,Лабораторная диагностика
Определение экспрессии рецепторов к эстрогенам и прогестерону иммуногистохимическим методом,Лабораторная диагностика
Молекулярно-генетическое исследование мутации G1691A в гене фактора V (мутация Лейдена в V факторе свертывания),Лабораторная диагностика
Исследование уровня свободного кортизола в моче,Лабораторная диагностика
Комплекс исследований для диагностики болезни Вильсона-Коновалова,Лабораторная диагностика
Определение антител класса M (IgM) к хламидии трахоматис (Chlamydia trachomatis) в крови,Лабораторная диагностика
Определение протромбинового (тромбопластинового) времени в крови или в плазме,Лабораторная диагностика
Молекулярно-генетическое исследование генетических полиморфизмов ассоциированных с функциями интерлейкина 28B в крови,Лабораторная диагностика
Исследование уровня свободного тироксина (СТ4) сыворотки крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Определение антител к Treponema pallidum в крови методом иммуноблоттинга,Лабораторная диагностика
Исследование уровня антигена аденогенных раков CA 125 в крови,Лабораторная диагностика
Исследование уровня белка S-100 в сыворотке крови,Лабораторная диагностика
Исследование уровня лептина в крови,Лабораторная диагностика
Исследование уровня альдостерона в крови,Лабораторная диагностика
Микробиологическое (культуральное) исследование мочи на аэробные и факультативно-анаэробные условно-патогенные микроорганизмы,Лабораторная диагностика
Микробиологическое (культуральное) исследование мокроты на аэробные и факультативно-анаэробные микроорганизмы,Лабораторная диагностика
Молекулярно-генетическое исследование мутаций в генах BRCA1 и BRCA2 в крови,Лабораторная диагностика
Молекулярно-генетическое исследование мутаций в гене BRCA1 в биопсийном (операционном) материале,Лабораторная диагностика
Определение ДНК бледной трепонемы (Treponema pallidum) в отделяемом эрозивно-язвенных элементов слизистых оболочек половых органов методом ПЦР,Лабораторная диагностика
"Определение ДНК вирусов папилломы человека (Papilloma virus) высокого канцерогенного риска в отделяемом (соскобе) из цервикального канала методом ПЦР, количественное исследование",Лабораторная диагностика
Определение содержания антител к глиадину в крови,Лабораторная диагностика
Исследование кала на скрытую кровь,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Определение ДНК аденовируса (Adenovirus) в отделяемом конъюнктивы методом ПЦР,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Определение ДНК анаплазмы фагоцитофиллум (Anaplasma phagocytophillum) в крови методом ПЦР,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Определение ДНК вируса гепатита B (Hepatitis B virus) в крови методом ПЦР, количественное исследование",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Определение ДНК простого герпеса 1 и 2 типов (Herpes simplex virus types 1, 2) методом ПЦР в крови, количественное исследование",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Определение содержания антител к аннексину V в крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Определение ДНК вируса простого герпеса 1 и 2 типов (Herpes simplex virus types 1, 2) в отделяемом слизистой оболочки прямой кишки методом ПЦР",Лабораторная диагностика
Патолого-анатомическое исследование биопсийного (операционного) материала почки с применением гистохимических методов,Лабораторная диагностика
Патолого-анатомическое исследование биопсийного (операционного) материала с применением иммуногистохимических методов,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследование уровня натрия в моче,Лабораторная диагностика
Определение индекса пролиферативной активности экспрессии Ki-67 иммуногистохимическим методом,Лабораторная диагностика
Определение содержания антител к бета-2-гликопротеину в крови,Лабораторная диагностика
"Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на коронавирусы 229E, OC43, NL63, HKUI (Human Coronavirus)",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследование уровня общего тироксина (Т4) сыворотки крови,Лабораторная диагностика
Исследование уровня фолликулостимулирующего гормона в сыворотке крови,Лабораторная диагностика
Микроскопическое исследование волос на дерматомицеты,Лабораторная диагностика
Микробиологическое (культуральное) исследование фекалий/ректального мазка на возбудитель псевдотуберкулеза (Yersinia pseudotuberculosis),Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследование уровня 8-OH-дезоксигуанозина в крови,Лабораторная диагностика
Исследование уровня холестерина липопротеинов низкой плотности,Лабораторная диагностика
Исследование железосвязывающей способности сыворотки,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Определение активности глутатионпероксидазы,Лабораторная диагностика
Определение антител класса M (IgM) к токсоплазме (Toxoplasma gondii) в крови,Лабораторная диагностика
Исследование уровня гастрина сыворотки крови,Лабораторная диагностика
Исследование уровня тиреоглобулина в крови,Лабораторная диагностика
Бактериологическое исследование отделяемого из зева на стрептококк группы A (Streptococcus gr. A),Лабораторная диагностика
Количественное определение этанола в моче методом газовой хроматографии,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследование уровня адренокортикотропного гормона в крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Микроскопическое исследование кала на простейшие,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Молекулярно-генетическое исследование транслокаций гена ALK,Лабораторная диагностика
Молекулярно-генетическое исследование транслокаций гена ROS1,Лабораторная диагностика
Микробиологическое (культуральное) исследование раневого отделяемого на неспорообразующие анаэробные микроорганизмы,Лабораторная диагностика
Определение антител к возбудителю описторхоза (Opisthorchis felineus) в крови,Лабораторная диагностика
Исследование уровня простатспецифического антигена общего в крови,Лабораторная диагностика
Молекулярно-биологическое исследование отделяемого из цервикального канала на вирус папилломы человека (Papilloma virus),Лабораторная диагностика
Определение содержания антицентромерных антител в крови,Лабораторная диагностика
Определение ДНК Mycoplasma pneumoniae в бронхоальвеолярной лаважной жидкости методом ПЦР,Лабораторная диагностика
Цитологическое исследование аспирата из полости матки,Лабораторная диагностика
Определение активности аланинаминотрансферазы в крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Молекулярно-цитогенетическое исследование (FISH-метод) на одну пару хромосом,Лабораторная диагностика
Цитологическое исследование отделяемого из соска молочной железы,Лабораторная диагностика
Цитологическое исследование микропрепарата тканей влагалища,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Цитологическое исследование микропрепарата тканей молочной железы,Лабораторная диагностика
Определение индекса пролиферативной активности экспрессии Ki-67 иммуногистохимическим методом,Лабораторная диагностика
Определение активности аспартатаминотрансферазы в крови,Лабораторная диагностика
Молекулярно-цитогенетическое исследование (FISH-метод) на одну пару хромосом,Лабораторная диагностика
Исследование уровня холестерина в крови,Лабораторная диагностика
Микробиологическое (культуральное) исследование влагалищного отделяемого на трихомонасвагиналис (Trichomonas vaginalis),Лабораторная диагностика
Патолого-анатомическое исследование биопсийного (операционного) материала лимфоузла с применением иммуногистохимических методов,Лабораторная диагностика
Определение антител к цитомегаловирусу (Cytomegalovirus) в крови,Лабораторная диагностика
Исследование уровня хорионического гонадотропина (свободная бета-субъединица) в сыворотке крови,Лабораторная диагностика
Исследование уровня свободного тироксина (СТ4) сыворотки крови,Лабораторная диагностика
"Определение ДНК микоплазмы хоминис (Mycoplasma hominis) в моче методом ПЦР, качественное исследование",Лабораторная диагностика
"определение авидности антител класса G к вирусу простого герпеса 1 и 2 типов (Herpes simplex virus types 1, 2)",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследование уровня общего иммуноглобулина E в крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Цитогенетическое исследование (кариотип),Лабораторная диагностика
Определение ДНК пневмококка (Streptococcus pneumoniae) в крови методом ПЦР,Лабораторная диагностика
Микроскопическое исследование осадка мочи,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследования уровня N-терминального фрагмента натрийуретического пропептида мозгового (NT-proBNP) в крови,Лабораторная диагностика
Комплекс обследований по допуску к занятиям физической культурой,Лабораторная диагностика
"Определение ДНК условно-патогенных генитальных микоплазм (Ureaplasma parvum, Ureaplasma urealyticum, Mycoplasma hominis) в моче методом ПЦР, количественное исследование",Лабораторная диагностика
Определение антител класса M (IgM) к цитомегаловирусу (Cytomegalovirus) в крови,Лабораторная диагностика
Определение (исследование) устойчивости организма к наркотическому действию азота,Лабораторная диагностика
Молекулярно-генетическое исследование мутаций в гене BRCA1 в биопсийном (операционном) материале,Лабораторная диагностика
Исследование уровня натрия в моче,Лабораторная диагностика
Исследование уровня гастрина сыворотки крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследование уровня C-пептида в крови,Лабораторная диагностика
"Определение ДНК вируса Эпштейна-Барр (Epstein - Barr virus) методом ПЦР в периферической и пуповинной крови, качественное исследование",Лабораторная диагностика
Исследование уровня свободного эстрадиола в слюне,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследование уровня свободного трийодтиронина (СТ3) в крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Определение антител к вирусу гепатита A (Hepatitis A virus) в крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Определение активности гамма-глютамилтрансферазы в крови,Лабораторная диагностика
Исследование уровня холестерина в крови,Лабораторная диагностика
Определение активности альфа-1-антитрипсина в крови,Лабораторная диагностика
Определение содержания антител к тканевой трансглютаминазе в крови,Лабораторная диагностика
Исследование уровня кремния в крови,Лабораторная диагностика
Исследование уровня марганца в моче,Лабораторная диагностика
Исследование уровня никеля в крови,Лабораторная диагностика
Исследование уровня кремния в моче,Лабораторная диагностика
Исследование уровня марганца в моче,Лабораторная диагностика
Исследование уровня свободного карнитина и ацилкарнитинов в крови,Лабораторная диагностика
Исследование уровня порфиринов и их производных в моче,Лабораторная диагностика
"Определение антител классов A, M, G (IgA, IgM, IgG) к хламидии пневмонии (Chlamydia pheumoniae) в крови",Лабораторная диагностика
Определение антител к легионелле пневмонии (Legionella pneumophila) в крови,Лабораторная диагностика
Определение антител к возбудителю описторхоза (Opisthorchis felineus) в крови,Лабораторная диагностика
Определение антител к вирусу простого герпеса (Herpes simplex virus) в крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
Исследование уровня метанефринов в крови,Лабораторная диагностика
Определение ДНК и типа вируса папилломы человека (Papilloma virus) высокого канцерогенного риска в отделяемом (соскобе) из цервикального канала методом ПЦР,Лабораторная диагностика
Определение индекса пролиферативной активности экспрессии Ki-67 иммуногистохимическим методом,Лабораторная диагностика
Определение соотношения белковых фракций методом электрофореза,Лабораторная диагностика
Определение содержания антител к тиреопероксидазе в крови,Лабораторная диагностика
Молекулярно-цитогенетическое исследование (FISH-метод) на одну пару хромосом,Лабораторная диагностика
Исследование фактора некроза опухоли в сыворотке крови,Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
"Исследование уровня антител к антигенам растительного, животного и химического происхождения в крови",Лабораторная диагностика
